file,algorithm,num_states,compressedsize_mb,mem_mb,time_sec

ltsbenchmarks/vlts-benchmarks/cwi_33949_165318/cwi_33949_165318.aut,bisim,282.20803,4328.409059524536,16615.140625,413.84
ltsbenchmarks/vlts-benchmarks/cwi_33949_165318/cwi_33949_165318.boa,nlogn,33949609,820.6770467758179,2776.35546875,31.47

ltsbenchmarks/vlts-benchmarks/cwi_7838_59101/cwi_7838_59101.aut,bisim,214.229744,1904.9977807998657,5777.08203125,285.1
ltsbenchmarks/vlts-benchmarks/cwi_7838_59101/cwi_7838_59101.boa,nlogn,7838608,289.29250621795654,814.12109375,15.81

ltsbenchmarks/vlts-benchmarks/cwi_2416_17605/cwi_2416_17605.aut,bisim,13.928956,358.3730945587158,1780.16796875,30.37
ltsbenchmarks/vlts-benchmarks/cwi_2416_17605/cwi_2416_17605.boa,nlogn,2416632,86.25614929199219,249.328125,1.41

ltsbenchmarks/vlts-benchmarks/vasy_11026_24660/vasy_11026_24660.aut,bisim,51.69218,573.4923906326294,2768.203125,76.62
ltsbenchmarks/vlts-benchmarks/vasy_6020_19353/vasy_6020_19353.boa,nlogn,6020550,221.11984062194824,520.84375,3.1

ltsbenchmarks/vlts-benchmarks/vasy_12323_27667/vasy_12323_27667.aut,bisim,56.926775,646.3910341262817,3103.0625,83.15
ltsbenchmarks/vlts-benchmarks/vasy_12323_27667/vasy_12323_27667.boa,nlogn,12323703,143.68462944030762,734.3984375,7.0

ltsbenchmarks/vlts-benchmarks/vasy_6020_19353/vasy_6020_19353.aut,bisim,33.879234,414.4149332046509,2124.37109375,50.88
ltsbenchmarks/vlts-benchmarks/vasy_11026_24660/vasy_11026_24660.boa,nlogn,11026932,128.1080560684204,619.96875,6.07
